,EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,OCCGROUP,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,PWDALLCOUNT,VISMINALLCOUNT
348716,Provincial Aerospace Ltd.,2018,Full-Time,Provincial,Newfoundland and Labrador,Overall,715,464,251,58,5,13
348823,Provincial Aerospace Ltd.,2018,Part-Time,Provincial,Nova Scotia,Overall,1,1,0,1,0,1
348828,Provincial Aerospace Ltd.,2018,Part-Time,Provincial,Newfoundland and Labrador,Overall,47,23,24,15,0,2
348907,Purolator Inc.,2018,Full-Time,Provincial,Ontario,Overall,4414,3616,798,170,235,1413
348964,Purolator Inc.,2018,Full-Time,Provincial,Québec,Overall,1840,1680,160,26,34,207
349017,Purolator Inc.,2018,Full-Time,Provincial,Nova Scotia,Overall,192,164,28,6,8,11
349054,Purolator Inc.,2018,Full-Time,Provincial,New Brunswick,Overall,449,248,201,6,24,16
349099,Purolator Inc.,2018,Full-Time,Provincial,Manitoba,Overall,288,256,32,27,16,74
349144,Purolator Inc.,2018,Full-Time,Provincial,British Columbia,Overall,663,543,120,15,29,283
349197,Purolator Inc.,2018,Full-Time,Provincial,Saskatchewan,Overall,234,198,36,14,14,31
349242,Purolator Inc.,2018,Full-Time,Provincial,Alberta,Overall,1022,800,222,52,69,298
349692,Purolator Inc.,2018,Part-Time,Provincial,Ontario,Overall,908,617,291,24,42,352
349717,Purolator Inc.,2018,Part-Time,Provincial,Québec,Overall,295,232,63,4,2,43
349734,Purolator Inc.,2018,Part-Time,Provincial,Nova Scotia,Overall,41,31,10,1,1,3
